pitch_angle,t*1,t*2,h*1,h*2,dtheta1,dtheta2,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cm1,Cm2
-170.99119130698864,15.707963267948966,15.707963267948966,-0.05,-0.05,-0.006241274112669563,-0.006241274112669563,-170.99119130698864,-170.99119130698864,0,0,0,0,0,0
-170.87847541179096,15.387392589011231,16.0285339468867,-0.04989726963751682,-0.04989726963751682,-0.0060280298741672515,-0.006428871617093814,-170.84176588484036,-171.14429919033722,0,0,0,0,0,0
-170.7699051515845,15.066821910073498,16.349104625824435,-0.04958950069116231,-0.0495895006911623,-0.005790015167903634,-0.006590051509054789,-170.69663697491558,-171.3004603518401,0,0,0,0,0,0
-170.6659266648566,14.746251231135764,16.66967530476217,-0.04907795784955327,-0.049077957849553266,-0.00552820804736074,-0.0067241514658034135,-170.55640097184374,-171.45903306297944,0,0,0,0,0,0
-170.56696722151264,14.42568055219803,16.9902459836999,-0.048364743151951474,-0.048364743151951474,-0.005243684334154331,-0.006830620441853117,-170.4216341620846,-171.61936568782906,0,0,0,0,0,0
-170.473433467132,14.105109873260295,17.310816662637635,-0.04745278735053343,-0.04745278735053343,-0.0049376131972521204,-0.006909020933343756,-170.2928903548607,-171.78079936174825,0,0,0,0,0,0
-170.3857097519744,13.784539194322562,17.63138734157537,-0.04634583786730109,-0.04634583786730109,-0.00461125234860769,-0.0069590307758389406,-170.17069860557004,-171.9426706996649,0,0,0,0,0,0
-170.30415655160203,13.463968515384828,17.951958020513104,-0.04504844339512096,-0.04504844339512096,-0.0042659428749523805,-0.006980444468168781,-170.05556104106537,-172.10431452278522,0,0,0,0,0,0
-170.22910898560835,13.143397836447093,18.272528699450838,-0.04356593520616947,-0.04356593520616947,-0.0039031037269819397,-0.006973174016878273,-169.94795079576357,-172.26506659250012,0,0,0,0,0,0
-170.1608754405397,12.822827157509359,18.593099378388573,-0.04190440524459203,-0.041904405244592026,-0.0035242258885842055,-0.006937249297811274,-169.8483100670859,-172.42426634023315,0,0,0,0,0,0
-170.09973630266884,12.502256478571626,18.913670057326307,-0.04007068109339784,-0.04007068109339782,-0.0031308662500661964,-0.006872817933344259,-169.757048298232,-172.58125958199977,0,0,0,0,0,0
-170.04594280582756,12.181685799633891,19.23424073626404,-0.038072297918456725,-0.038072297918456705,-0.00272464121055796,-0.006780144685774309,-169.67454049576156,-172.73540120651882,0,0,0,0,0,0
-169.99971599903301,11.861115120696159,19.554811415201772,-0.03591746750488639,-0.035917467504886384,-0.0023072200358818327,-0.006659610369354065,-169.60112568889295,-172.88605782583167,0,0,0,0,0,0
-169.96124583815,11.540544441758424,19.875382094139507,-0.03361504451306584,-0.033615044513065837,-0.0018803179991811214,-0.0065117102854441765,-169.5371055368409,-173.032610377548,0,0,0,0,0,0
-169.93069040532134,11.21997376282069,20.19595277307724,-0.031174490092936675,-0.031174490092936685,-0.0014456893324948283,-0.006337052187213921,-169.4827430898967,-173.1744566680432,0,0,0,0,0,0
-169.90817525937476,10.899403083882955,20.516523452014976,-0.028605833006108472,-0.02860583300610846,-0.0010051200182419247,-0.0061363537822529705,-169.43826170931885,-173.31101384618032,0,0,0,0,0,0
-169.89379291987433,10.57883240494522,20.83709413095271,-0.025919628415526252,-0.025919628415526242,-0.0005604204502364968,-0.005910439783356983,-169.40384415044176,-173.44172079742265,0,0,0,0,0,0
-169.8876024869381,10.258261726007488,21.15766480989044,-0.023126914512041775,-0.02312691451204177,-0.00011341799439133668,-0.005660238519605823,-169.37963181273446,-173.5660404485338,0,0,0,0,0,0
-169.88962939838282,9.937691047069753,21.478235488828176,-0.020239167156119692,-0.020239167156119706,0.00033405052032095984,-0.005386778121660248,-169.36572415985427,-173.68346197343286,0,0,0,0,0,0
-169.89986532519464,9.61712036813202,21.79880616776591,-0.017268252721065396,-0.01726825272106541,0.0007801463497916455,-0.005091182296952484,-169.36217831203666,-173.79350289118048,0,0,0,0,0,0
-169.91826820575466,9.296549689194286,22.119376846703645,-0.014226379331551629,-0.014226379331551617,0.0012230363905701702,-0.004774665712131364,-169.3690088124562,-173.89571104751664,0,0,0,0,0,0
-169.94476241867926,8.975979010256552,22.43994752564138,-0.011126046697815717,-0.01112604669781573,0.0016609007124793584,-0.00443852900173659,-169.38618756847887,-173.98966647184608,0,0,0,0,0,0
-169.97923909356456,8.655408331318817,22.760518204579114,-0.007979994751668959,-0.007979994751668938,0.002091940037098883,-0.00408415342361212,-169.41364396800913,-174.07498310207902,0,0,0,0,0,0
-170.0215565583582,8.334837652381083,23.08108888351685,-0.0048011512953840775,-0.004801151295384078,0.0025143831313862376,-0.003712995183021866,-169.45126517042132,-174.1513103702721,0,0,0,0,0,0
-170.07154092152027,8.01426697344335,23.401659562454583,-0.0016025788785827605,-0.0016025788785827616,0.002926494086053235,-0.0033265794487896054,-169.49889657085004,-174.21833464258316,0,0,0,0,0,0
-170.128986786581,7.6936962945056155,23.722230241392317,0.0016025788785827555,0.0016025788785827876,0.0033265794487896266,-0.002926494086053213,-169.55634243591078,-174.2757805076439,0,0,0,0,0,0
-170.19365809615869,7.373125615567881,24.042800920330052,0.004801151295384095,0.004801151295384104,0.0037129951830218023,-0.002514383131386215,-169.6233667082218,-174.32341190807264,0,0,0,0,0,0
-170.2652891019703,7.052554936630148,24.363371599267783,0.007979994751668955,0.007979994751668966,0.00408415342361206,-0.00209194003709886,-169.6996939764149,-174.3610331104848,0,0,0,0,0,0
-170.34358545684827,6.731984257692414,24.683942278205517,0.011126046697815722,0.011126046697815712,0.004438529001736532,-0.0016609007124793352,-169.78501060664786,-174.38848951001506,0,0,0,0,0,0
-170.42822542427575,6.411413578754679,25.004512957143252,0.014226379331551624,0.014226379331551643,0.0047746657121313825,-0.0012230363905701466,-169.87896603097732,-174.40566826603774,0,0,0,0,0,0
-170.51886120047143,6.090842899816945,25.325083636080986,0.017268252721065393,0.017268252721065393,0.0050911822969525004,-0.0007801463497916219,-169.98117418731346,-174.41249876645728,0,0,0,0,0,0
-170.61512034358964,5.770272220879212,25.645654315018717,0.02023916715611969,0.02023916715611969,0.005386778121660263,-0.000334050520321035,-170.09121510506108,-174.40895291863967,0,0,0,0,0,0
-170.71660730416372,5.449701541941478,25.966224993956452,0.023126914512041772,0.02312691451204175,0.005660238519605838,0.00011341799439126143,-170.20863662996013,-174.39504526575948,0,0,0,0,0,0
-170.8229050505039,5.129130863003743,26.286795672894186,0.02591962841552626,0.025919628415526266,0.005910439783356996,0.0005604204502365207,-170.3329562810713,-174.37083292805218,0,0,0,0,0,0
-170.9335767823695,4.80856018406601,26.60736635183192,0.02860583300610848,0.028605833006108486,0.006136353782252983,0.0010051200182419483,-170.46366323231362,-174.33641536917509,0,0,0,0,0,0
-171.0481677258754,4.487989505128276,26.927937030769655,0.031174490092936682,0.03117449009293667,0.006337052187213931,0.0014456893324948517,-170.60022041045073,-174.29193398859724,0,0,0,0,0,0
-171.166207002255,4.167418826190541,27.24850770970739,0.03361504451306584,0.03361504451306586,0.00651171028544415,0.0018803179991811446,-170.7420667009459,-174.23757154165304,0,0,0,0,0,0
-171.28720956280233,3.846848147252807,27.569078388645124,0.035917467504886384,0.035917467504886384,0.006659610369354043,0.0023072200358818552,-170.88861925266227,-174.173551389601,0,0,0,0,0,0
-171.41067818204112,3.526277468315074,27.88964906758286,0.038072297918456725,0.03807229791845675,0.006780144685774314,0.0027246412105579815,-171.03927587197512,-174.10013658273238,0,0,0,0,0,0
-171.53610550093106,3.2057067893773397,28.210219746520593,0.040070681093397835,0.04007068109339785,0.006872817933344264,0.003130866250066218,-171.19341749649422,-174.01762878026193,0,0,0,0,0,0
-171.66297611171464,2.885136110439605,28.530790425458328,0.04190440524459204,0.04190440524459205,0.006937249297811277,0.0035242258885841414,-171.3504107382608,-173.92636701140805,0,0,0,0,0,0
-171.79076867583856,2.5645654315018724,28.85136110439606,0.04356593520616947,0.04356593520616947,0.0069731740168782735,0.0039031037269818777,-171.50961048599382,-173.82672628273036,0,0,0,0,0,0
-171.9189580662454,2.243994752564138,29.171931783333793,0.04504844339512096,0.04504844339512096,0.006980444468168781,0.0042659428749523215,-171.67036255570875,-173.7191160374286,0,0,0,0,0,0
-172.04701752523343,1.9234240736264034,29.492502462271528,0.04634583786730109,0.0463458378673011,0.006959030775838939,0.0046112523486077075,-171.83200637882905,-173.6039784729239,0,0,0,0,0,0
-172.174420829017,1.602853394688669,29.813073141209262,0.04745278735053344,0.04745278735053344,0.006909020933343753,0.004937613197252137,-171.9938777167457,-173.4817867236332,0,0,0,0,0,0
-172.3006444500929,1.2822827157509362,30.133643820146993,0.048364743151951474,0.04836474315195147,0.006830620441853133,0.005243684334154348,-172.15531139066488,-173.35304291640935,0,0,0,0,0,0
-172.42516970852736,0.9617120368132017,30.454214499084728,0.049077957849553266,0.049077957849553266,0.006724151465803434,0.005528208047360754,-172.31564401551447,-173.2182761066502,0,0,0,0,0,0
-172.5474849033228,0.6411413578754672,30.774785178022462,0.04958950069116231,0.04958950069116231,0.006590051509054781,0.005790015167903647,-172.47421672665385,-173.07804010357836,0,0,0,0,0,0
-172.66708741510732,0.3205706789377345,31.095355856960197,0.04989726963751682,0.04989726963751682,0.006428871617093805,0.006028029874167264,-172.63037788815672,-172.93291119365358,0,0,0,0,0,0
-172.78348577150533,0.0,31.41592653589793,0.05,0.05,0.006241274112669551,0.006241274112669573,-172.78348577150533,-172.7834857715053,0,0,0,0,0,0
