pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-14.993319,487.71142,489.479268,0.000261,0.000267,8.2263765,8.202137,-14.993319,-14.993319,0.16432,0.161537,-0.504688,-0.495459,1.074762,1.061326,-0.030741,-0.031083
-14.991164,485.890932,490.561122,0.000269,0.000267,8.2172635,8.188199,-14.991164,-14.991164,0.167294,0.160211,-0.510576,-0.503281,1.104194,1.069137,-0.033174,-0.032319
-14.988898,484.917956,491.452976,0.000269,0.000263,8.2311415,8.226615,-14.988898,-14.988898,0.168729,0.165169,-0.498783,-0.509278,1.083769,1.084794,-0.0328,-0.032445
-14.986572,484.23142,491.977951,0.000266,0.000263,8.2241635,8.212314,-14.986572,-14.986572,0.166675,0.16523,-0.496605,-0.501526,1.077652,1.070318,-0.032344,-0.031453
-14.984332,483.536005,492.37839,0.000263,0.000264,8.2147875,8.19791,-14.984332,-14.984332,0.165246,0.166803,-0.495425,-0.494768,1.077802,1.06451,-0.031123,-0.031476
-14.982164,482.907663,492.773073,0.000263,0.000265,8.2482475,8.178123,-14.982164,-14.982164,0.165327,0.167225,-0.501441,-0.491153,1.08591,1.053176,-0.0323,-0.031269
-14.980282,482.439127,493.123171,0.000262,0.000265,8.2673065,8.160887,-14.980282,-14.980282,0.167203,0.16713,-0.509897,-0.488078,1.099921,1.047887,-0.033531,-0.030821
-14.978244,481.920834,493.464,0.000262,0.000265,8.2686515,8.156238,-14.978244,-14.978244,0.16756,0.16419,-0.511046,-0.487724,1.105689,1.054345,-0.033955,-0.030677
-14.976079,481.398639,493.907268,0.000263,0.000267,8.2736395,8.188503,-14.976079,-14.976079,0.165707,0.162696,-0.513183,-0.490667,1.117513,1.058618,-0.033504,-0.030328
-14.973878,480.827322,494.349024,0.000264,0.000269,8.2580835,8.200881,-14.973878,-14.973878,0.165962,0.166635,-0.513252,-0.496521,1.112067,1.068118,-0.032558,-0.03055
-14.971913,480.439859,494.767951,0.000265,0.00027,8.2475635,8.212227,-14.971913,-14.971913,0.167573,0.169404,-0.512689,-0.506083,1.115567,1.070359,-0.033137,-0.031558
-14.969874,480.071176,495.288732,0.000266,0.000269,8.2470545,8.203682,-14.969874,-14.969874,0.166255,0.167137,-0.514107,-0.506688,1.11627,1.068145,-0.032986,-0.031536
-14.9681,479.683712,495.622829,0.000267,0.000268,8.2532495,8.182263,-14.9681,-14.9681,0.167616,0.165377,-0.517736,-0.504335,1.113662,1.071954,-0.033154,-0.031721
-14.966421,479.390883,495.956585,0.000266,0.000268,8.2591695,8.158635,-14.966421,-14.966421,0.169567,0.167515,-0.515596,-0.495425,1.111647,1.061096,-0.033574,-0.032032
-14.964204,479.029029,496.467024,0.000265,0.000269,8.2449015,8.127184,-14.964204,-14.964204,0.169625,0.165922,-0.513621,-0.487377,1.108542,1.047677,-0.034243,-0.030881
-14.962159,478.688688,496.879463,0.000263,0.000269,8.2415085,8.131504,-14.962159,-14.962159,0.16951,0.169096,-0.512179,-0.490739,1.106328,1.049457,-0.034903,-0.030067
