pitch_angle,t*1,t*2,h*1,h*2,q01,q02,alpha1,alpha2,Cx1,Cx2,Cz1,Cz2,Cmx1,Cmx2,Cm1,Cm2
-8.935336,29.909561,31.022341,-0.020962,0.035197,58.629933,58.626666,-11.826621,-11.822005,-0.005237,-0.007942,-0.85897,-0.849369,1.970082,1.940502,0.05207,0.053004
-8.915956,29.504049,31.417317,-0.042208,0.055048,58.631176,58.628031,-11.786416,-11.791389,-0.00473,-0.00769,-0.865345,-0.841633,1.984171,1.92282,0.051279,0.053221
-8.88831,29.12722,31.794146,-0.061016,0.073892,58.629354,58.628092,-11.747213,-11.74859,-0.004186,-0.008685,-0.868151,-0.833753,1.989798,1.905916,0.050578,0.053255
-8.852425,28.760293,32.166244,-0.079301,0.092403,58.632134,58.626539,-11.695743,-11.693222,-0.003199,-0.009381,-0.868742,-0.825949,1.993186,1.886817,0.04988,0.05346
-8.80834,28.391854,32.533463,-0.097462,0.110533,58.628014,58.628208,-11.632123,-11.62567,-0.002519,-0.009622,-0.869237,-0.817296,1.994501,1.867606,0.049222,0.053392
-8.756107,28.02278,32.899024,-0.115386,0.128423,58.628218,58.625628,-11.556121,-11.545915,-0.001625,-0.010106,-0.868555,-0.808691,1.993502,1.847957,0.048421,0.053365
-8.695786,27.654341,33.261951,-0.133112,0.146013,58.628404,58.625819,-11.468015,-11.45448,-0.000648,-0.009796,-0.867143,-0.799474,1.990469,1.824716,0.047523,0.053241
-8.627454,27.286341,33.624585,-0.15063,0.163354,58.628572,58.627196,-11.367924,-11.3509,0.000281,-0.010309,-0.865371,-0.788813,1.985297,1.801229,0.046632,0.053019
-8.551195,26.918585,33.987366,-0.167922,0.180448,58.62872,58.625157,-11.255982,-11.235564,0.000847,-0.011009,-0.862496,-0.778383,1.980307,1.778447,0.045675,0.052571
-8.467107,26.551024,34.350146,-0.184966,0.197289,58.62885,58.627268,-11.132343,-11.108403,0.001716,-0.010718,-0.858391,-0.767752,1.970438,1.754124,0.044682,0.052125
-8.375301,26.183512,34.71439,-0.201742,0.213768,58.628965,58.625109,-10.997181,-10.969979,0.002083,-0.010444,-0.8531,-0.756186,1.959629,1.726559,0.04368,0.051535
-8.275897,25.816146,35.079707,-0.218227,0.229981,58.629068,58.625165,-10.850686,-10.820147,0.002779,-0.010274,-0.847448,-0.744474,1.944228,1.699692,0.04274,0.050904
-8.169026,25.448829,35.444927,-0.234399,0.245857,58.629161,58.625271,-10.693065,-10.659244,0.003468,-0.010031,-0.841099,-0.732335,1.929175,1.671912,0.041716,0.05019
-8.054834,25.081561,35.809951,-0.250234,0.261375,58.629248,58.625427,-10.524543,-10.487496,0.00412,-0.009719,-0.832566,-0.719779,1.911306,1.643248,0.040454,0.049395
-7.933474,24.714341,36.174878,-0.265711,0.276515,58.629331,58.625635,-10.345355,-10.305146,0.0051,-0.009345,-0.824397,-0.706815,1.890661,1.613721,0.039339,0.048523
-7.805113,24.347268,36.539756,-0.280807,0.291256,58.629412,58.625892,-10.155753,-10.112453,0.005198,-0.008914,-0.814412,-0.693448,1.86777,1.583351,0.038067,0.047574
-7.669928,23.980195,36.904537,-0.295501,0.305579,58.629496,58.626199,-9.956004,-9.909693,0.00596,-0.00843,-0.803268,-0.679686,1.842816,1.552152,0.036881,0.046555
-7.528107,23.613268,37.26922,-0.309771,0.319465,58.629584,58.626555,-9.74639,-9.697154,0.006388,-0.0079,-0.791907,-0.665532,1.813963,1.520137,0.035679,0.045469
-7.379849,23.246439,37.633902,-0.323598,0.332893,58.62968,58.626957,-9.527213,-9.475146,0.006763,-0.007328,-0.779332,-0.65099,1.784585,1.487313,0.034533,0.04432
-7.225362,22.879756,37.998585,-0.336961,0.345846,58.629786,58.627404,-9.298783,-9.243986,0.007363,-0.006718,-0.765929,-0.636062,1.751671,1.453685,0.033269,0.043114
-7.064865,22.513171,38.363171,-0.349842,0.358307,58.629905,58.627894,-9.061426,-9.004013,0.007449,-0.006073,-0.751154,-0.620747,1.716774,1.419249,0.03204,0.041856
-6.898586,22.14678,38.727756,-0.362223,0.370257,58.630036,58.628426,-8.815479,-8.755574,0.008075,-0.005396,-0.737092,-0.605044,1.683085,1.383999,0.030627,0.040552
-6.726764,21.780488,39.092293,-0.374086,0.381681,58.630183,58.628997,-8.561289,-8.499034,0.008528,-0.004688,-0.720069,-0.588947,1.643882,1.347918,0.02931,0.039209
-6.549642,21.41439,39.456829,-0.385415,0.392563,58.630345,58.629604,-8.299212,-8.234762,0.008417,-0.003951,-0.703468,-0.57245,1.606131,1.310986,0.027871,0.037833
-6.367475,21.048488,39.821317,-0.396194,0.402888,58.630523,58.630245,-8.029622,-7.963145,0.008927,-0.003185,-0.685756,-0.555546,1.563137,1.273179,0.026645,0.036431
-6.180522,20.682732,40.185756,-0.406408,0.412642,58.630719,58.630917,-7.7529,-7.684571,0.008841,-0.002391,-0.666768,-0.538228,1.518441,1.23447,0.025351,0.03501
-5.989053,20.317122,40.550244,-0.416045,0.421813,58.630935,58.631615,-7.469444,-7.399447,0.00911,-0.00157,-0.646958,-0.520488,1.471946,1.194834,0.023967,0.033576
-5.793339,19.951707,40.914634,-0.425089,0.430388,58.631173,58.632335,-7.179656,-7.108178,0.009146,-0.000722,-0.626678,-0.502317,1.424396,1.154246,0.022691,0.032136
-5.593661,19.586439,41.279024,-0.433531,0.438355,58.631434,58.633073,-6.883949,-6.811183,0.009098,0.000151,-0.605364,-0.483711,1.373728,1.112685,0.02131,0.030696
